Site ,Section,Elev (m),Lon,Lat,Dec ,Inc ,a95,n,R,k
CB1702,Bishop Wash,1908.239,-104.5932447,38.84781475,194.08,-68.51,44.74,3,2.77,8.66
CB1704,Bishop Wash,1918.995,-104.5924402,38.84764759,139.51,-13.83,29.85,3,2.89,18.12
CB1707,Bishop Wash,1935.81,-104.5914364,38.85562336,164.46,-37.57,14.27,3,2.97,75.67
CB1709,Bishop Wash,1940.649,-104.5907345,38.8558636,169.9,-37.11,58.55,3,2.64,5.51
CB1875,Bishop Wash,1945.2,-104.590733,38.855815,352.68,43.52,26.19,3,2.91,23.21
CB1710,Bishop Wash,1946.1,-104.5907072,38.85581584,343.19,57.39,10,3,2.99,153.11
CB1711,Bishop Wash,1948.1,-104.5906825,38.8557934,1.48,62,12.88,3,2.98,92.72
CB1712,Bishop Wash,1948.3,-104.5898571,38.85610734,351.25,58.31,18.67,3,2.96,44.65
CB1713,Bishop Wash,1951.3,-104.5898201,38.85626569,343.77,71.29,10.29,3,2.99,144.67
CB1714,Bishop Wash,1953.5,-104.5898844,38.85628087,8.85,53.4,15.69,3,2.97,62.76
CB1715,Bishop Wash,1957.3,-104.5899948,38.85646381,355.02,63.13,8.41,3,2.99,216.14
CB1716,Bishop Wash,1962.1,-104.5898756,38.85652962,3.83,58.33,2.77,3,3,1984.18
CB1717,Bishop Wash,1966.1,-104.5898096,38.85662921,352.54,62.87,11.87,3,2.98,108.91
CB1718,Bishop Wash,1969.7,-104.5897735,38.85684358,336.4,56.5,25.14,3,2.92,25.1
CB1719,Bishop Wash,1973.1,-104.5897194,38.85696684,340.23,54.21,9.82,3,2.99,158.6
CB1720,Bishop Wash,1976.2,-104.589695,38.8570161,343.02,65.35,7.21,3,2.99,293.63
CB1721,Bishop Wash,1979.4,-104.5895892,38.8570945,353.82,58.26,11.01,3,2.98,126.48
CB1723,Bishop Wash,1984.5,-104.5890002,38.85736338,281.13,60.04,58.33,3,2.64,5.54
CB1724,Bishop Wash,1991.4,-104.5883968,38.85724986,12.92,54.26,41.42,3,2.8,9.92
CB1725,Bishop Wash,1995.9,-104.5876767,38.85799026,340.91,51.12,14.26,3,2.97,75.77
CB1726,Bishop Wash,2001.3,-104.5877017,38.85808909,347.87,56.76,11.22,3,2.98,121.83
CB1727,Bishop Wash,2005.5,-104.5876787,38.85823172,309.39,59.21,9.55,3,2.99,167.66
CB1730,JZB,1946.5,-104.620965,38.86094925,165.28,-51.66,16.35,3,2.97,57.88
CB1731,JZB,1947.8,-104.6209464,38.86096961,178.39,-54,18.12,3,2.96,47.36
CB1732,JZB,1949,-104.6209364,38.86098747,176.91,-27.29,30.49,3,2.89,17.41
CB1734,JZB,1955.3,-104.6208617,38.86105664,341.88,58.05,12.94,3,2.98,91.85
CB1740,Hilaire-West,2010.094,-104.6035532,38.87016807,5.04,51.63,21.31,3,2.94,34.52
CB1741,Hilaire-West,2018.309,-104.6039982,38.87043738,343.56,67.83,49.45,3,2.73,7.28
CB1742,Hilaire-West,2022.088,-104.6043879,38.87045718,299.69,44.53,29.21,3,2.89,18.88
CB1743,Hilaire-West,2036.243,-104.6017213,38.86974034,349.32,53.49,39,3,2.82,11.05
DB0902,Leaf 6,1883,-104.63578,38.844961,159.51,83.31,34.05,4,3.64,8.25
CB1735,Leaf 6 ,1884.098,-104.6357914,38.84501135,13.14,64.56,13.76,3,2.98,81.36
CB1736,Leaf 6,1885.503,-104.6361964,38.84552601,339.96,30.18,26.99,3,2.91,21.93
DB0903,Leaf 6,1886,-104.63619,38.845521,5.94,49.1,18.36,4,3.88,26.01
CB1737,Leaf 6,1887.192,-104.6369967,38.84597043,165.07,61.94,35.19,3,2.85,13.33
DB0904,Leaf 6,1895.475,-104.63906,38.847927,153.58,-60.58,24.51,3,2.92,26.36
DB0905,Leaf 6,1900.4,-104.63962,38.849209,137.5,-64.52,30.66,3,2.88,17.22
DB0909,Leaf 6,1926.069,-104.64304,38.852815,172.96,-22.74,28.21,3,2.9,20.15
DB0910,Leaf 6,1929.992,-104.6435,38.853176,148.11,-36.8,52.19,3,2.7,6.65
CB1739,Leaf 6,1961.756,-104.6431876,38.85429042,126.76,-46,19.91,3,2.95,39.39
CB1833,9776,1945.571,-104.642527,38.866946,193.78,-58.32,24.61,3,2.92,26.15
CB1830,9776,1949.569,-104.642818,38.867083,176.24,-52.5,23.54,3,2.93,28.48
CB1803,9776,1950.173,-104.642828,38.867115,153.38,-41.72,35.03,3,2.85,13.45
CB1831,9776,1951.102,-104.642801,38.8671,296.58,33.53,56.69,3,2.66,5.8
CB1832,9776,1952.873,-104.64279,38.867118,166.88,-59.54,38.53,3,2.82,11.3
CB1802,9776,1954.299,-104.642585,38.867151,356.52,57.21,5.32,3,3,538.42
CB1801,9776,1956.673,-104.642677,38.867196,359.2,51.39,6.79,3,2.99,330.92
CB1745,9776,1959.032,-104.643275,38.867612,353.25,52.63,9.64,3,2.99,164.7
CB1873,Lyco-Luck,1892.329,-104.664807,38.850473,355.63,36.14,14.47,3,2.97,73.59
CB1748,Lyco-Luck,1906,-104.657551,38.854408,177.54,-17.9,29.86,3,2.89,18.11
CB1824,Bambino Canyon,1934.896,-104.5883968,38.85724986,154.32,-17.7,31.2,3,2.88,16.67
CB1825,Bambino Canyon,1943.573,-104.5876767,38.85799026,139.29,-39.71,32.69,3,2.87,15.28
CB1826,Bambino Canyon,1948.816,-104.5877017,38.85808909,117.19,-56.51,29.43,3,2.89,18.6
CB1827,Bambino Canyon,1955.333,-104.5876787,38.85823172,168.41,-53.85,11.86,3,2.98,109.06
CB1828,Bambino Canyon,1959.617,-104.646626,38.863277,12.34,38.73,6.51,3,2.99,359.75
CB1829,Bambino Canyon,1962.724,-104.646778,38.863334,51.9,64.89,27.31,3,2.91,21.43
CB1805,Bambino Canyon,,-104.649377,38.864333,17.32,59.31,11.44,3,2.98,117.23
CB1810,Hawkins,1901.012,-104.5873707,38.83269601,166.2,-23.44,27.21,3,2.91,21.58
CB1814,Hawkins,1951.416,-104.5752022,38.83759392,124.97,-62.31,35.59,3,2.85,13.06
CB1813,Hawkins,1955.139,-104.5754883,38.83756038,184.51,-51.71,54.12,3,2.68,6.26
CB1835,Waste Management ,1944.54,-104.580534,38.841356,159.19,-60.26,24.69,3,2.92,25.99
CB1866,Waste Management ,1946.471,-104.580503,38.841378,146.85,-55.36,39.9,4,3.52,6.27
CB1865,Waste Management ,1948.781,-104.580434,38.84136,146.46,-35.66,33.3,3,2.86,14.77
CB1867,Waste Management ,1954.594,-104.580342,38.841423,12.79,60.44,7.27,3,2.99,288.66
CB1857,Waste Management ,1962.123,-104.579284,38.8417,4.18,54.04,6.93,3,2.99,317.96
CB1834,Waste Management ,1965.536,-104.579415,38.841851,5.4,56.23,11.39,3,2.98,118.2
CB1856,Waste Management ,1973,-104.582289,38.845972,354.32,76.57,49.66,3,2.72,49.66
CB1855,Waste Management ,1988,-104.582088,38.846468,346.69,46.22,27.62,3,2.9,20.98
CB1859,9789,1872.563,-104.624689,38.84311,349.05,62.95,28.84,4,3.73,11.12
CB1860,9789,1876.783,-104.627842,38.846335,353.51,63.04,26.75,4,3.76,12.76
CB1863,9789,1902.295,-104.635214,38.850912,155.13,-54.87,21.47,4,3.84,19.29
CB1838,9789,1925.6,-104.636697,38.85554,325.79,-68.42,41.13,3,2.8,10.05
CB1843,9789,1951.802,-104.635728,38.858393,194.37,-64.23,31.06,3,2.88,16.82
CB1845,9789,1958.89,-104.635705,38.858551,165.49,-47.32,17.1,3,2.96,53.06
CB1846,9789,1962.612,-104.63584,38.858663,0.82,60.46,7.15,3,2.99,298.1
CB1847,9789,1965.806,-104.635853,38.858697,349.63,52.46,6.37,3,2.99,375.07
CB1848,9789,1971.236,-104.634897,38.858855,15.3,58.37,15.93,3,2.97,60.92
CB1850,Kunstle,2028.972,-104.596664,38.868465,332.59,57.47,23.6,3,2.93,28.34
CB1851,Kunstle,2036.045,-104.59621,38.869267,358.81,59.51,19.23,3,2.95,42.17
CB1868,Kunstle,2036.902,-104.596129,38.869649,340.66,55.06,33.18,3,2.87,14.86
CB1869,Kunstle,2040.598,-104.595875,38.869711,155.14,-37.04,27.32,3,2.91,21.42
CB1853,Kunstle,2042.362,-104.595928,38.869771,176.12,-31.4,28.53,4,3.74,11.34
CB1870,Kunstle,2043.408,-104.59591,38.869765,166.28,-48.68,23.82,4,3.81,15.84
CB1854,Kunstle,2043.746,-104.595909,38.869799,348.2,56.39,8.15,3,2.99,230